ProductName,Stars,Ratings,Reviews,CurrentPrice,MRP,Processor,Ram,Storage
ASUS VivoBook 14 (2022) Ryzen 5 Quad Core AMD R5,4.2,361,28,40990,57990,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD
DELL Core i5 12th Gen,0,0,0,60190,75649,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
DELL Core i5 12th Gen,0,0,0,59690,80473,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD
DELL Inspiron Ryzen 5 Dual Core 3450U,4.3,51,8,45890,62422,Processor: AMD Ryzen 5-3450U (2.10 GHz up to 3.50 GHz),RAM & Storage: 8GB DDR4 (2 DIMM Slots) & 512GB SSD,Display: 15.6" FHD WVA AG Narrow Border
Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core AMD R5,4.7,19,2,67900,103490,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD
DELL Core i9 12th Gen,0,0,0,151990,197449,Intel Core i9 Processor (12th Gen),16 GB DDR5 RAM,1 TB SSD
ASUS VivoBook 14 (2021) Celeron Dual Core,4.1,618,71,23990,33990,Intel Celeron Dual Core Processor,4 GB DDR4 RAM,256 GB SSD
ASUS VivoBook 15 (2022) Core i3 10th Gen,4.3,9459,946,35990,50990,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD
acer Aspire 3 Pentium Silver,4.1,14,2,28490,36990,Intel Pentium Silver Processor,8 GB DDR4 RAM,256 GB SSD
APPLE MacBook Air M1,4.7,659,77,103990,112900,Apple M1 Processor,16 GB DDR4 RAM,256 GB SSD
MSI Delta 15 AMD Advantage Edition Ryzen 9 Octa Core 5900HX 5th Gen,4.7,35,7,129990,188990,AMD Ryzen 9 Octa Core Processor (5th Gen),16 GB DDR4 RAM,1 TB SSD
DELL Ryzen 3 Quad Core 5425U,4.4,68,13,35990,50837,Processor: R3-5425U (2.70 GHz up to 4.1 GHz),RAM & Storage: 8GB DDR4 & 256GB SSD,Software: Win 11 + Office H&S 2021
RedmiBook Pro Core i5 11th Gen,4.1,3416,410,44999,59999,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
acer Aspire 7 Ryzen 5 Hexa Core 5500U,4.4,5347,659,58990,89999,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD
MSI Sword 15 Core i5 12th Gen,4.6,62,18,85990,98341,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
DELL Core i5 12th Gen,0,0,0,75225,98252,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
DELL Vostro Core i3 10th Gen,4,201,30,41990,54783,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD
DELL Core i3 12th Gen,0,0,0,49349,64133,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 3 Core i3 10th Gen,0,0,0,31990,59390,Intel Core i3 Processor (10th Gen),8 GB DDR4 RAM,256 GB SSD
DELL Vostro Core i3 11th Gen,4,8,1,41090,44427,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD
ASUS Vivobook 15 Core i5 12th Gen,3.9,8,1,67490,80990,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad Gaming 3 Core i5 11th Gen,0,0,0,64990,99290,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 3 Core i3 11th Gen,4.2,159,15,34490,48490,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD
ASUS ROG Strix G15 Ryzen 7 Octa Core AMD R7,4.5,1187,154,87990,107990,AMD Ryzen 7 Octa Core Processor,8 GB DDR4 RAM,512 GB SSD
Infinix X1 Slim Series Core i5 10th Gen,4.2,332,58,37990,64999,Intel Core i5 Processor (10th Gen),16 GB LPDDR4X RAM,512 GB SSD
MSI Katana GF66 Core i5 12th Gen,4.5,16,3,78990,111990,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 3 Core i3 11th Gen,4.2,4231,409,38700,59390,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
MSI Core i7 11th Gen,4.3,120,6,59990,89990,Intel Core i7 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 3 Core i5 12th Gen,4.2,218,18,58990,76890,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS Vivobook K15 OLED Ryzen 5 Hexa Core AMD R5,4.5,726,77,58990,80990,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD
Lenovo Core i3 11th Gen,3.8,10,0,37900,61390,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
ASUS TUF Gaming F15 Core i5 10th Gen,4.6,111,7,65990,84990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,1 TB SSD
ASUS Vivobook 14 Core i3 11th Gen,4.3,25,3,39834,55990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD
HP Pavilion Gaming Ryzen 7 Octa Core AMD R7,4.3,296,31,76108,92404,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 5 Core i5 12th Gen,0,0,0,65300,97890,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
Lenovo IdeaPad 3 Core i5 11th Gen,0,0,0,55990,80290,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD
ASUS Core i3 12th Gen,3.9,8,0,44990,54990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,256 GB SSD
Mi Notebook 14 Core i5 10th Gen,4.4,2248,236,44999,46359,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,256 GB SSD
Lenovo IdeaPad Flex 5 Ryzen 5 Hexa Core 5500U,0,0,0,62390,95090,AMD Ryzen 5 Hexa Core Processor,16 GB LPDDR4X RAM,512 GB SSD
ASUS Touchscreen Core i3 12th Gen,4.5,6,0,46288,62990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD
Lenovo Ideapad Gaming 3 Core i5 11th Gen,4.4,333,35,61990,79739,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD
APPLE MacBook Air M1,4.7,659,77,102990,112900,Apple M1 Processor,16 GB DDR4 RAM,256 GB SSD
Lenovo IdeaPad Gaming 3 Core i5 12th Gen,0,0,0,78990,111190,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD
